id,cid,collection_name,path,hash,size,lastModifiedNano,attachmentId,directoryId,filename,rootCid,pieceCid
51,bafybeiagbaasdfqxa5xdfpesmofuuvpp2xv5tlysn4mwpp4tpv4jnzuk3a,cbp,temp,,1283637,1709249145773746300,1,5,cpb_waterquality_2005_10.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
52,bafkreiakcdhabnzhqcu73qxd7matwlpkpug3qqsdd2a4arwsdiuapgicba,cbp,temp,,779234,1709249147230332200,1,5,cpb_waterquality_2005_11.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
53,bafkreih3rawk2hxfvruivqdnmriw2uxifw7ilnpd6uxhbbpgeak3fmfswu,cbp,temp,,578201,1709249148713339700,1,5,cpb_waterquality_2005_12.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
55,bafkreifo4pe6mszko5dxcblaesxulf3tgxpp6a7cjdugx3jnha2g4mf6ue,cbp,temp,,524942,1709249151543587900,1,5,cpb_waterquality_2006_02.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
56,bafkreihbgvftlylg5yviiufoudxcuzdpkpxgqh6fvcahkwvb5vheha73yy,cbp,temp,,834583,1709249153348338400,1,5,cpb_waterquality_2006_03.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
57,bafybeic4pfd4eto4ut5zq77ztj5upalsz2nwxsdeyhhu53o542bzgmsn4q,cbp,temp,,1666878,1709249155339858000,1,5,cpb_waterquality_2006_04.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
59,bafybeia5caeim6wxrnkom26km6eqb6pplspg54kpr42pd4tyxq3bafs4ya,cbp,temp,,1818875,1709249159315786800,1,5,cpb_waterquality_2006_06.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
60,bafybeicvpwn4ff3fofoffekovsrqjmq7cwfa4ys2isgqt27iime3nkwyzm,cbp,temp,,2019533,1709249161530793600,1,5,cpb_waterquality_2006_07.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
61,bafybeiajvhgam4htwrnd3ihxrdgcdinmvj52ar3rt433rdx7brqvktc4we,cbp,temp,,1883239,1709249163728373600,1,5,cpb_waterquality_2006_08.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
63,bafybeihhlbwotyka3nhx65vtk73cvtzlbe24djsup53yvqgry3eykn3vsu,cbp,temp,,1500282,1709249167611171600,1,5,cpb_waterquality_2006_10.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
